LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_248,248,248,11,0,0,0,0,0,10.0,0.0,10.0,0.0,468.5049922378588,527.0570930925804,0.0,0.9523595055907479,2.48227111635484,0.14187136776753573,0.8434660376113949,0.6221585074878389,1231.6363636363637,9.523595055907476,2.48227111635484,0.0,0.0,0.0,1.0665649469773772
Track_249,249,249,11,0,0,0,0,0,10.0,0.0,10.0,0.0,533.2617897014383,414.5756512718852,0.0,1.7020282483607532,7.112882584110452,0.330742554787805,1.4202129407598563,1.95706194837756,891.0909090909091,17.02028248360753,7.112882584110452,0.0,0.0,0.0,0.6519702537645007
Track_250,250,250,11,0,0,0,0,0,10.0,0.0,10.0,0.0,367.32823394161227,513.1819091870146,0.0,1.8048138811543581,8.385544044799067,0.30200473697125546,1.122428353069493,2.4485417863044603,513.3636363636364,18.04813881154358,8.385544044799067,0.0,0.0,0.0,1.0864760913586111
Track_251,251,251,11,0,0,0,0,0,10.0,0.0,10.0,0.0,275.3056952530609,269.8475517486515,0.0,1.8139087969986287,7.654926067656544,0.28697583248056235,1.3361368162173137,2.1079101859464546,1046.2727272727273,18.13908796998629,7.654926067656544,0.0,0.0,0.0,0.9054662497795262
Track_252,252,252,10,0,0,0,0,0,9.0,0.0,9.0,15.777350592072663,264.4923799570883,419.6756276153477,0.0,1.9862533709651806,5.749688994204674,0.48144403027441485,1.0954353135015302,1.85437164412667,1107.8,17.876280338686627,15.777350592072663,0.882585766901876,1.7530389546747402,0.882585766901876,0.7679653035627252
Track_253,253,253,11,0,0,0,0,0,10.0,0.0,10.0,0.0,414.99518249060026,267.9917542945099,0.0,1.8764532908132214,9.028225354563013,0.02717588759274914,1.4071197661476875,2.5636163829302245,862.2727272727273,18.76453290813221,9.028225354563013,0.0,0.0,0.0,1.1144243234414115
Track_254,254,254,11,0,0,0,0,0,10.0,0.0,10.0,30.04001562315212,650.1456006968954,522.158730204645,0.0,3.41820248691847,13.398438824149446,0.5471647189524317,2.7061588352584995,3.7191742710592797,1554.5454545454545,34.1820248691847,30.04001562315212,0.8788249302993566,3.004001562315212,0.8788249302993566,0.5604514984259037
Track_255,255,255,11,0,0,0,0,0,10.0,0.0,10.0,0.0,660.3280411909086,416.1164331807938,0.0,2.736238727582875,11.365011042004657,1.0427352497536215,1.9080943723973263,3.0741523459193516,793.2727272727273,27.362387275828752,11.365011042004657,0.0,0.0,0.0,1.0928203851657152
Track_256,256,256,17,0,1,1,0,0,10.0,0.0,10.0,0.0,534.4936244263517,276.1132325425839,0.0,6.5272038199692055,12.813806077401956,0.7139851027696389,8.419094512404932,4.472620613415107,907.7058823529412,104.4352611195073,28.673740280280104,0.0,0.0,0.0,1.4161214105296247
Track_257,257,257,11,0,0,0,0,0,10.0,0.0,10.0,0.0,526.0358395655172,533.9640994835992,0.0,1.607693793993871,5.243392713533467,0.07485492023101434,1.3269162499890899,1.430603780037458,1123.0,16.07693793993871,5.5048388478074575,0.0,0.0,0.0,0.9951603069121381
