LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4620,4620,376,962.0,125.55578873732075,560.4410633088493,0.0,4.0,4,17.416926294072454,1,,175.71174004192872,174.0,145.0,228.0,167629.0,14.968162382596768,0.031056135857496597,0.7071758090852758,0.875929709129308,-0.2792567642293548,28.314143417579295,11.569814381837395,2.672806101162588,2.4472426681302335,952.9999999999995,144.19891018708628,0.5759420772203674,0.8931583880037482,4.671060881401356
ID4655,4655,376,979.0,114.98900255754475,558.6283887468031,0.0,7.0,7,17.639385299512437,1,,171.67656090071648,171.0,136.0,230.0,167728.0,14.550920807880136,0.027175377610414567,0.6242830023582169,1.2817185815217464,0.14053329021345606,27.629078447150157,12.1990231080533,-0.3964398789127768,2.2648599156198466,977.5000000000001,142.88382222590235,0.601672983940574,0.9071925754060324,4.570089194637168
ID5268,5268,377,815.0,158.06602603843768,582.9271543707378,0.0,2.0,2,16.02238818676003,1,,171.57639751552796,170.0,147.0,219.0,138119.0,9.861134799974977,3.57961103289539E-4,0.012452055574984511,-0.4665575608545324,0.5179693938515348,21.863866098195874,12.746258280655224,-1.471928930899773,1.7153164181035219,806.5000000000003,117.68664623344083,0.7317451662266484,0.9312933025404161,4.144050134950806
ID5285,5285,377,848.0,158.8879716981132,580.6169418238994,0.0,5.0,5,16.429448666460313,1,,176.18117647058824,175.0,152.0,225.0,149754.0,9.38786644055444,-0.0023961450309315,-0.0901524598843935,-0.7451987620813343,-1.4490203025456647,23.59896896941164,12.854514589830115,1.4964317657866009,1.8358506503296537,848.0000000000002,137.10678823752983,0.5668756485691788,0.8265107212475635,4.708266438375144
ID5125,5125,377,1118.0,152.2125463994061,580.2251670378619,0.0,1.0,1,18.90245611663482,1,,172.1448888888889,171.0,148.0,220.0,193663.0,10.998842672501521,0.011361866549335757,0.35165779440856054,-0.5388350322628694,0.03603072639693035,23.768427312656545,18.737083839166356,0.7206136542126222,1.268523294055669,1122.5000000000002,144.73927821873653,0.6733229361212724,0.8790133124510573,4.320094309298135
ID6502,6502,377,1689.0,150.53071604938273,571.8023209876543,0.0,9.0,9,23.176452121391375,1,,177.85917159763315,177.0,148.0,231.0,300582.0,9.370616649321185,9.888891925601876E-4,0.03750217561603772,1.2540590856960847,0.3736913173470479,30.143912578196872,19.593411271890094,0.571928267987821,1.538471895470452,1687.5,173.9732207650522,0.7006301758370128,0.8976063829787235,4.235069218437567
ID4905,4905,377,807.0,157.58023159636065,582.2200165425971,0.0,3.0,3,16.017420774398584,1,,172.57496902106567,172.0,149.0,216.0,139268.0,9.56116618030076,-0.00169466875864612,-0.061279944887105135,0.23338090260314653,-0.33777125475029895,21.374701287620685,13.387918323298132,-1.4580064467256821,1.596566454280175,806.0,121.00317493272914,0.6917535148315549,0.9061270376616076,4.26215505197753
ID6554,6554,377,1108.0,157.45598617996095,578.1846928045666,0.0,8.0,8,18.792679923867052,1,,177.39350180505414,177.0,155.0,223.0,196552.0,8.879319029377784,0.0037213413602197247,0.14814070048265626,-0.9033215870555733,0.7745480611575151,24.02894120517373,16.61948875011818,1.4752292749552156,1.445829144714386,1109.5,139.4126620725517,0.7173526886762543,0.9165634035522512,4.1854153891113475
ID5245,5245,377,1479.0,151.02996952251948,574.5086917259284,0.0,6.0,6,21.679126987735618,1,,178.25372124492557,177.0,152.0,235.0,263459.0,10.460482898022422,0.008755253778107944,0.29580110787675656,0.902837927934484,0.30392657046905824,25.89055325037343,19.847231935663398,0.6848066785228616,1.3044918976258253,1476.4999999999998,160.59838828941068,0.719384291399835,0.9077774362127266,4.179501225243178
ID4671,4671,377,756.0,158.34399033179523,579.2813667325863,0.0,4.0,4,15.538276888715982,1,,175.17460317460316,174.0,151.0,212.0,132432.0,9.509211454759415,9.992286949398294E-4,0.03677797282404194,-0.3230832890827909,0.6733955123124483,23.20674848401263,11.503525025953461,1.636455296066043,2.017359759869706,758.5,117.26945217901256,0.693099613106653,0.9323909035033805,4.258014184043671
